School,Conf,W,L,Pct,W,L,Conf Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Clemson,ACC (Atlantic),11,3,0.786,8,0,1.000,33.2,20.9,13.59,3.30,4,4,13,
Florida State,ACC (Atlantic),10,3,0.769,5,3,0.625,36.1,20.6,14.77,3.38,,11,11,
Louisville,ACC (Atlantic),8,5,0.615,4,4,0.500,26.9,19.2,10.44,4.59,,,,
North Carolina State,ACC (Atlantic),8,5,0.615,4,4,0.500,24.3,19.2,6.75,3.36,13,10,,
Syracuse,ACC (Atlantic),7,6,0.538,4,4,0.500,27.7,23.1,6.41,3.80,,14,,
Wake Forest,ACC (Atlantic),8,5,0.615,3,5,0.375,36.1,28.3,8.98,3.21,22,10,,
Boston College,ACC (Atlantic),3,9,0.250,2,6,0.250,17.8,30.3,-5.67,3.58,,,,
North Carolina,ACC (Coastal),9,5,0.643,6,2,0.750,34.4,30.8,5.52,1.95,,13,,
Duke,ACC (Coastal),9,4,0.692,5,3,0.625,32.8,22.1,7.39,-1.84,,,,
Pitt,ACC (Coastal),9,4,0.692,5,3,0.625,31.3,24.3,7.80,0.80,17,17,22,
Georgia Tech,ACC (Coastal),5,7,0.417,4,4,0.500,17.2,28.4,-3.29,4.55,,,,
Miami (FL),ACC (Coastal),5,7,0.417,3,5,0.375,23.6,26.8,-2.91,0.68,16,13,,
Virginia,ACC (Coastal),3,7,0.300,1,6,0.143,17.0,24.0,-5.85,1.45,,,,
Virginia Tech,ACC (Coastal),3,8,0.273,1,6,0.143,19.3,24.7,-6.78,-0.96,,,,
Tulane,American,12,2,0.857,7,1,0.875,36.0,22.2,11.53,0.39,,9,9,
Cincinnati,American,9,4,0.692,6,2,0.750,29.2,20.6,5.85,-1.00,23,20,,
UCF,American,9,5,0.643,6,2,0.750,32.9,23.6,5.74,0.74,,17,,
Houston,American,8,5,0.615,5,3,0.625,36.1,32.2,3.80,0.80,24,24,,
SMU,American,7,6,0.538,5,3,0.625,37.2,33.8,3.69,1.39,,,,
East Carolina,American,8,5,0.615,4,4,0.500,32.5,27.2,4.41,-0.82,,,,
Navy,American,4,8,0.333,4,4,0.500,21.9,24.3,-2.56,0.94,,,,
Memphis,American,7,6,0.538,3,5,0.375,35.3,26.0,4.14,-1.17,,,,
Tulsa,American,5,7,0.417,3,5,0.375,30.6,33.1,-4.42,-1.59,,,,
Temple,American,3,9,0.250,1,7,0.125,21.9,29.3,-7.72,-2.39,,,,
South Florida,American,1,11,0.083,0,8,0.000,28.0,41.2,-10.11,1.97,,,,
Kansas State,Big 12,10,4,0.714,7,2,0.778,32.3,21.9,16.16,7.95,,11,14,
Texas Christian,Big 12,13,2,0.867,9,0,1.000,38.8,29.0,16.65,7.45,,2,2,
Texas,Big 12,8,5,0.615,6,3,0.667,34.5,21.6,15.92,8.16,,18,25,
Texas Tech,Big 12,8,5,0.615,5,4,0.556,34.2,29.2,9.68,6.45,,,,
Oklahoma State,Big 12,7,6,0.538,4,5,0.444,30.6,28.9,5.16,4.47,12,7,,
Baylor,Big 12,6,7,0.462,4,5,0.444,32.2,26.8,6.19,4.96,10,9,,
Kansas,Big 12,6,7,0.462,3,6,0.333,35.6,35.5,6.27,6.58,,19,,
Oklahoma,Big 12,6,7,0.462,3,6,0.333,32.8,30.0,8.52,6.37,9,6,,
West Virginia,Big 12,5,7,0.417,3,6,0.333,30.6,32.9,2.90,6.06,,,,
Iowa State,Big 12,4,8,0.333,1,8,0.111,20.2,20.3,5.71,6.37,,,,
Michigan,Big Ten (East),13,1,0.929,9,0,1.000,40.4,16.1,20.59,2.73,8,2,3,
Ohio State,Big Ten (East),11,2,0.846,8,1,0.889,44.2,21.0,19.82,5.20,2,2,4,
Penn State,Big Ten (East),11,2,0.846,7,2,0.778,35.8,18.2,17.56,4.02,,7,7,
Maryland,Big Ten (East),8,5,0.615,4,5,0.444,28.2,23.2,6.68,3.06,,,,
Michigan State,Big Ten (East),5,7,0.417,3,6,0.333,24.4,27.4,0.98,5.48,15,11,,
Indiana,Big Ten (East),4,8,0.333,2,7,0.222,23.3,33.9,-3.05,5.03,,,,
Rutgers,Big Ten (East),4,8,0.333,1,8,0.111,17.4,29.3,-5.09,3.74,,,,
Purdue,Big Ten (West),8,6,0.571,6,3,0.667,26.6,27.4,3.62,4.12,,,,
Minnesota,Big Ten (West),9,4,0.692,5,4,0.556,28.2,13.8,8.48,-0.21,,21,,
Illinois,Big Ten (West),8,5,0.615,5,4,0.556,24.2,12.8,10.01,1.17,,14,,
Iowa,Big Ten (West),8,5,0.615,5,4,0.556,17.7,13.3,7.91,2.29,,,,
Wisconsin,Big Ten (West),7,6,0.538,4,5,0.444,26.3,20.2,4.37,2.29,18,18,,
Nebraska,Big Ten (West),4,8,0.333,3,6,0.333,22.6,27.6,-2.14,2.11,,,,
Northwestern,Big Ten (West),1,11,0.083,1,8,0.111,13.8,28.3,-7.43,4.74,,,,
Western Kentucky,CUSA (East),9,5,0.643,6,2,0.750,36.4,23.4,1.01,-5.49,,,,
Middle Tennessee State,CUSA (East),8,5,0.615,4,4,0.500,28.8,27.7,-5.82,-6.97,,,,
Florida Atlantic,CUSA (East),5,7,0.417,4,4,0.500,29.8,26.6,-6.44,-5.86,,,,
Florida International,CUSA (East),4,8,0.333,2,6,0.250,18.7,37.3,-17.44,-7.44,,,,
Charlotte,CUSA (East),3,9,0.250,2,6,0.250,24.4,39.4,-16.23,-5.81,,,,
UTSA,CUSA (West),11,3,0.786,8,0,1.000,36.8,25.9,5.36,-3.78,,22,,
North Texas,CUSA (West),7,7,0.500,6,2,0.750,33.8,31.7,-2.71,-4.21,,,,
UAB,CUSA (West),7,6,0.538,4,4,0.500,30.1,23.2,-0.98,-5.13,,,,
UTEP,CUSA (West),5,7,0.417,3,5,0.375,24.4,27.0,-9.15,-6.48,,,,
Rice,CUSA (West),5,8,0.385,3,5,0.375,25.2,34.2,-9.45,-3.75,,,,
Louisiana Tech,CUSA (West),3,9,0.250,2,6,0.250,29.0,37.9,-12.66,-4.50,,,,
Notre Dame,Ind,9,4,0.692,,,,31.8,23.0,10.80,3.80,5,5,18,
Liberty,Ind,8,5,0.615,,,,27.5,24.6,-2.15,-5.30,,19,,
New Mexico State,Ind,7,6,0.538,,,,25.5,23.9,-8.33,-9.56,,,,
Connecticut,Ind,6,7,0.462,,,,19.4,26.2,-5.78,-3.09,,,,
Massachusetts,Ind,1,11,0.083,,,,12.5,31.1,-19.26,-4.34,,,,
BYU,Ind,8,5,0.615,,,,31.3,29.5,1.98,-0.10,25,12,,
Army,Ind,6,6,0.500,,,,28.6,22.5,-0.62,-4.62,,,,
Ohio,MAC (East),10,4,0.714,7,1,0.875,31.8,28.3,-0.34,-5.91,,,,
Buffalo,MAC (East),7,6,0.538,5,3,0.625,28.5,26.7,-5.74,-7.28,,,,
Bowling Green,MAC (East),6,7,0.462,5,3,0.625,23.5,32.5,-10.99,-4.60,,,,
Miami (OH),MAC (East),6,7,0.462,4,4,0.500,20.2,22.6,-8.32,-6.32,,,,
Kent State,MAC (East),5,7,0.417,4,4,0.500,28.4,29.0,-5.38,-2.22,,,,
Akron,MAC (East),2,10,0.167,1,7,0.125,21.8,33.5,-13.49,-5.16,,,,
Toledo,MAC (West),9,5,0.643,5,3,0.625,31.3,25.1,-0.40,-6.75,,,,
Eastern Michigan,MAC (West),9,4,0.692,5,3,0.625,29.8,28.5,-6.78,-8.78,,,,
Western Michigan,MAC (West),5,7,0.417,4,4,0.500,19.0,24.1,-11.72,-5.88,,,,
Ball State,MAC (West),5,7,0.417,3,5,0.375,23.3,26.9,-7.58,-5.50,,,,
