School,Conf,W,L,Pct,Conf W,Conf L,Conf Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Florida State,ACC,13,0,1.000,9,0,1.000,37.0,15.9,18.42,1.96,4,8,3,
Louisville,ACC,10,3,0.769,7,2,0.778,30.9,19.7,11.60,3.21,16,,9,
North Carolina State,ACC,9,3,0.750,6,2,0.750,26.8,20.2,7.83,2.33,19,,19,
Georgia Tech,ACC,6,6,0.500,5,3,0.625,31.2,30.5,3.10,3.18,,,,
Virginia Tech,ACC,6,6,0.500,5,3,0.625,28.6,24.3,4.89,1.64,,,,
Clemson,ACC,8,4,0.667,4,4,0.500,29.2,19.9,10.16,3.66,,9,9,
North Carolina,ACC,8,4,0.667,4,4,0.500,36.6,27.1,7.97,1.56,,21,10,
Duke,ACC,7,5,0.583,4,4,0.500,27.8,19.8,8.76,2.92,,,16,
Miami (FL),ACC,7,5,0.583,3,5,0.375,32.1,22.1,9.35,2.60,,,17,
Boston College,ACC,6,6,0.500,3,5,0.375,25.0,29.5,-3.66,0.01,,,,
Syracuse,ACC,6,6,0.500,2,6,0.250,25.5,23.8,-0.48,0.10,,,,
Pitt,ACC,3,9,0.250,2,6,0.250,20.2,27.3,-2.97,3.45,,,,
Virginia,ACC,3,9,0.250,2,6,0.250,23.3,33.8,-3.69,4.90,,,,
Wake Forest,ACC,4,8,0.333,1,7,0.125,20.3,27.2,-3.08,2.75,,,,
SMU,American,11,2,0.846,9,0,1.000,40.6,17.4,9.58,-3.88,17,,17,
Tulane,American,11,2,0.846,8,1,0.889,26.8,18.9,5.81,-2.80,23,24,17,
UTSA,American,8,4,0.667,7,1,0.875,31.7,24.7,2.75,-4.00,,,,
Memphis,American,9,3,0.750,6,2,0.750,39.7,29.0,5.71,-3.38,,,,
Rice,American,6,6,0.500,4,4,0.500,30.3,26.7,-1.83,-2.83,,,,
South Florida,American,6,6,0.500,4,4,0.500,30.8,34.9,-6.91,-4.41,,,,
Navy,American,5,7,0.417,4,4,0.500,17.7,22.4,-5.85,-4.02,,,,
North Texas,American,5,7,0.417,3,5,0.375,34.5,37.1,-6.58,-4.50,,,,
Florida Atlantic,American,4,8,0.333,3,5,0.375,23.8,25.5,-6.75,-4.09,,,,
UAB,American,4,8,0.333,3,5,0.375,29.9,36.9,-9.78,-2.78,,,,
Tulsa,American,4,8,0.333,2,6,0.250,23.4,33.8,-7.41,-2.16,,,,
Charlotte,American,3,9,0.250,2,6,0.250,17.5,28.6,-12.79,-2.79,,,,
Temple,American,3,9,0.250,1,7,0.125,21.1,35.7,-14.26,-3.51,,,,
East Carolina,American,2,10,0.167,1,7,0.125,17.3,22.4,-8.64,-1.05,,,,
UCF,Big 12,6,6,0.500,3,6,0.333,32.5,25.4,3.47,1.05,,,,
Houston,Big 12,4,8,0.333,2,7,0.222,23.7,31.5,-2.30,3.87,,,,
Cincinnati,Big 12,3,9,0.250,1,8,0.111,24.1,30.0,-5.58,2.00,,,,
Texas,Big 12,12,1,0.923,9,1,0.900,36.2,17.5,21.37,6.07,3,11,3,
Oklahoma,Big 12,10,2,0.833,7,2,0.778,43.2,22.3,17.80,4.64,12,20,5,
Oklahoma State,Big 12,9,4,0.692,7,3,0.700,29.5,29.0,6.04,3.97,22,,15,
Kansas State,Big 12,8,4,0.667,6,3,0.667,37.8,21.2,15.75,5.09,,16,15,
West Virginia,Big 12,8,4,0.667,6,3,0.667,31.6,27.5,5.89,2.06,,,,
Iowa State,Big 12,7,5,0.583,6,3,0.667,26.3,21.7,8.56,4.48,,,,
Kansas,Big 12,8,4,0.667,5,4,0.556,33.6,25.8,8.98,3.15,,,19,
Texas Tech,Big 12,6,6,0.500,5,4,0.556,26.8,27.0,5.79,4.62,,,,
Texas Christian,Big 12,5,7,0.417,3,6,0.333,31.3,27.8,6.84,4.92,,17,17,
BYU,Big 12,5,7,0.417,2,7,0.222,23.1,29.8,-0.62,3.96,,,,
